,review,rating,title,keywords_by_method1,keywords_by_method2
0,"I like sport gadgets, but usually 9 out of 10 times my enthusiasm ends in great disappointment. However, the Form swim goggles have by far exceeded my expectations - they simply work. All the features advertised work better than expected and the app is a solid companion of the goggles. If you want to focus on your swim and forget counting laps or looking up for your time, the Form swim goggles are the best solution. They are also for me personally one of the best fitting goggles I’ve ever used, but that might be different for others people. I am really grateful for the team having developed these goggles. I wish more people knew about them. They are now also sold in Europe, but I was able to order them from the US.
P. S. : last week I tried out the new open water feature after a firmware update. I connected my Form goggle with my Apple Watch series 4 and went for a first swim. Once again, it all worked as announced. Just as a suggestion, I really wish that the developers could use Apple Watch’s inbuilt compass to show the direction of my swim on the display too. It’s my only future feature request!",5,Amazing! Now even better 😃,"['Form swim goggles', 'sport gadgets', 'great disappointment', 'enthusiasm ends', 'ends in great', 'Form swim', 'Form', 'Apple Watch', 'goggles', 'swim']","['swim goggles', 'apple watch', 'form goggle', 'companion goggles', 'fitting goggles', 'goggles best', 'sport gadgets', 'goggles ve', 'goggles', 'goggles wish']"
1,"My biggest question was if I was going to be able to read the data without my glasses and can tell you No problem as the data is easy to read and very clear in my vision. 

I have recently started running Triathlon events and was struggling with the swimming portion. I have been looking into Form goggles for a while and decided to purchase them as I do all my swimming in open water. My first impression is they were very easy to set up and connect to my Garmin 745 watch. After several swims I can already see they are helping me swim farther by knowing the distance I have covered as well as time length and pace of my swim. I set a goal of distance and/or time I want to swim and now I know when I have completed my goal. 

Another benefit to me is the fact that in open water lake swimming I can’t see the bottom so it was like swimming in the dark whenever face was in the water and now I focus on the data which is very easy to read.",5,Very motivating,"['biggest question', 'started running Triathlon', 'running Triathlon events', 'easy to read', 'swimming', 'running Triathlon', 'Triathlon events', 'easy', 'open water', 'recently started running']","['form goggles', 'goggles decided', 'goggles', 'data glasses', 'glasses tell', 'glasses', 'watch swims', 'focus data', 'swimming dark', 'clear vision']"
2,"This has been a game changer in how I swim. First, the app is great and is the required companion for the Form goggles. The goggles are amazing and after almost half a year of reliable swim tracking in the mornings and at night, I love these goggles and the app. They are fast, reliable, the screen is clear underwater and gets out of the way. Most importantly it lets me enjoy my swims without counting in my head and lets me have the data to know how I am performing and set timing goals to improve. I don’t know how it knows my stroke type, but again these goggles and the app are magic and I highly recommend them both!",5,I love these goggles,"['game changer', 'Form goggles', 'goggles', 'app', 'reliable swim tracking', 'game', 'changer', 'swim', 'reliable swim', 'required companion']","['swim tracking', 'goggles app', 'swim app', 'type goggles', 'form goggles', 'reliable swim', 'swims counting', 'goggles goggles', 'stroke type', 'love goggles']"
3,"The googles are fine and the workout generation is fine. However, something as basic as pausing your workout plan or being able to go back and pick up in you plan where you left off is not possible. If, for whatever reason, I don’t have the ability to complete 3 swims a week for 8 weeks, I should be able to go back to the last swim I completed and start from there. The progression system is time locked like an AFK video game. There’s no reason that I should have to wait 7 days for a workout week to unlock and then not be able to go back and complete missed workouts. Part of this is building endurance or achieving a goal set in the plan and if I don’t take the proper steps of progression then I don’t get as much out of week 7 as I could if I left off on week 3 This seems like a HUGE miss on their part and completely neuters an entire aspect of what could make this set up great.",3,"It’s fine, but not revolutionary","['workout generation', 'googles are fine', 'generation is fine', 'fine', 'back', 'workout', 'week', 'n’t', 'plan', 'googles']","['pausing workout', 'workout generation', 'workout week', 'missed workouts', 'swims week', 'complete swims', 'start progression', 'workout plan', 'progression time', 'week unlock']"
4,"This and bone conduction headphones have me swimming 2-3 times a week. The workout planner is awesome - it keeps it interesting. 

My feature request to the developer - please allow setting a critical swim pace, and allowing the workout builder to set intensity based on that, so that in the pre set instructions it can give a time per lap to shoot for. Or even allowing custom notes where I could enter that. 

Thanks for a game changing product!",5,Made me fall back in love with swimming,"['bone conduction headphones', 'bone conduction', 'conduction headphones', 'times a week', 'week', 'swimming 2-3 times', 'bone', 'conduction', 'headphones', 'swimming']","['workout planner', 'workout builder', 'swim pace', 'allowing workout', 'swimming times', 'headphones swimming', 'critical swim', 'swim', 'swimming', 'week workout']"
5,"I love the product and app. Everything is done very well and I can’t imagine my life without the googles. Some reviews claim that this product should be for serious swimmers. I am a terrible form, overweight guy trying to lose 100 pounds and this app and googles have already made a big difference and I’m swimming longer. So thankful for this product. It is for everyone!",5,Great product and app one suggestion,"['product', 'love', 'app', 'love the product', 'googles', 'n’t imagine', 'imagine my life', 'reviews claim', 'terrible form', 'overweight guy']","['app googles', 'googles reviews', 'product swimmers', 'product app', 'app', 'pounds app', 'app imagine', 'swimmers terrible', 'swimmers', 'love product']"
6,"I love these goggles so much, but when it comes to charging them the goggles won’t charge well. I’ll put them on the charger and the red light comes on. I’ve tried to fix this issue by rearranging the way the charger connects to the goggles, but the light stays red except for some spots that are green. The problem with this is that the goggles are never guaranteed to be charged when I leave them with a green light. I understand that the goggles are new and still working through updates and I really appreciate what this company has done for swimming!",4,Charger problems,"['n’t charge', 'goggles', 'light stays red', 'light', 'red light', 'love', 'charging', 'n’t', 'charge', 'charger']","['charging goggles', 'goggles light', 'charger red', 'problem goggles', 'goggles new', 'love goggles', 'charger connects', 'connects goggles', 'understand goggles', 'goggles guaranteed']"
7,I don’t understand their pricing but right now I don’t care because I like this app and my goggles so much. It was always so annoying to me to have to remember my labs. How to stop and click a clicker or write something down.  No more. I just swim. I just got the polar optical sensor I haven’t quite figured out how to connect it but when I do I may write more,5,Just the best deal going,"['understand their pricing', 'n’t understand', 'n’t care', 'n’t', 'understand', 'pricing', 'care', 'app', 'goggles', 'remember my labs']","['pricing', 'understand pricing', 'app goggles', 'pricing right', 'goggles annoying', 'app', 'goggles', 'sensor', 'sensor haven', 'like app']"
8,"After admiring them for awhile, I’m very grateful to have been gifted a pair of Form goggles by my teammate. I’m fascinated by all the metrics available upon synching and am very happy with the very user friendly interface!  I really look forward to learning more about my swims afterwards as well as seeing the real time info available as I swim!!!",5,Excellent,"['pair of Form', 'Form goggles', 'gifted a pair', 'user friendly interface', 'Form', 'awhile', 'teammate', 'friendly interface', 'admiring', 'grateful']","['form goggles', 'goggles teammate', 'goggles', 'learning swims', 'metrics available', 'available swim', 'swims seeing', 'form', 'fascinated metrics', 'metrics']"
9,"I was really disappointed to learn the collected data from the Form Goggles cannot be pushed to Garmin Connect. Form should take a look at how Zwift (for cycling) does it because it cannot be that hard!

UPDATE:
Response from Form: “Unfortunately this is due to a limitation from Garmin's side and we are not able to send them our data.”

My Response:
First, thank you for responding, it shows Form cares about customer satisfaction. However, Zwift (and I’m sure others) seems to send data to Garmin Connect just fine, how is this Garmin’s limitation? 

BTW, I’ve been a developer for 25 years so I can understand technical limitations between disparate systems but if other platforms are pushing data to Garmin, the problem is most likely NOT them.",3,Doesn’t Push Data to Garmin Connect,"['Form Goggles', 'Garmin Connect', 'disappointed to learn', 'learn the collected', 'Garmin', 'Form', 'Goggles', 'pushed to Garmin', 'data', 'Zwift']","['garmin connect', 'data garmin', 'garmin', 'garmin limitation', 'garmin problem', 'garmin able', 'limitation garmin', 'connect form', 'pushed garmin', 'fine garmin']"
