Athlete,Height (cm),Weight (kg),Trainging hours,Calories (kcal),Event,Dates,Location,Distance (m),Stroke,Results
林姵彣,174,60.91,3.12,2268.29,Swim0,2021-01-31,Taipei,50m,Freestyle,27.111
林姵彣,174,61.57,2.97,2267.14,Swim1,2021-02-28,Taichung,50m,Freestyle,27.165
林姵彣,174,60.4,3.16,2620.98,Swim2,2021-03-31,Tainan,50m,Freestyle,27.108
林姵彣,174,61.03,3.38,1543.36,Swim3,2021-04-30,Taipei,50m,Freestyle,27.2
林姵彣,174,61.18,2.94,1637.54,Swim4,2021-05-31,Taichung,50m,Freestyle,26.71
林姵彣,174,60.09,2.94,2218.86,Swim5,2021-06-30,Taipei,50m,Freestyle,26.705
林姵彣,174,61.22,3.39,1993.58,Swim6,2021-07-31,Tainan,50m,Freestyle,26.738
林姵彣,174,60.34,3.19,2657.12,Swim7,2021-08-31,Taipei,50m,Freestyle,26.744
林姵彣,174,60.13,2.88,2045.99,Swim8,2021-09-30,Taichung,50m,Freestyle,26.786
林姵彣,174,61.9,3.14,1793.85,Swim9,2021-10-31,Taichung,50m,Freestyle,26.7
