運動員,身高(cm),體重(kg),訓練距離(km/週),賽事,日期,地點,距離(m),泳姿,成績,心率,睡眠問卷分數,睡眠等級
林姵彣,174,60.91,873400.3199999998,Swim0,2021-01-31,Taipei,50m,Freestyle,27.111,158,23,1
林姵彣,174,61.57,831409.92,Swim1,2021-02-28,Taichung,50m,Freestyle,27.165,171,52,3
林姵彣,174,60.4,884597.7600000001,Swim2,2021-03-31,Tainan,50m,Freestyle,27.108,148,35,2
林姵彣,174,61.03,946183.6800000002,Swim3,2021-04-30,Taipei,50m,Freestyle,27.2,134,39,2
林姵彣,174,61.18,823011.8399999999,Swim4,2021-05-31,Taichung,50m,Freestyle,26.71,162,23,1
林姵彣,174,60.09,823011.8399999999,Swim5,2021-06-30,Taipei,50m,Freestyle,26.705,127,2,1
林姵彣,174,61.22,948983.0400000002,Swim6,2021-07-31,Tainan,50m,Freestyle,26.738,180,21,1
林姵彣,174,60.34,892995.8399999999,Swim7,2021-08-31,Taipei,50m,Freestyle,26.744,140,52,3
林姵彣,174,60.13,806215.6800000002,Swim8,2021-09-30,Taichung,50m,Freestyle,26.786,158,1,1
林姵彣,174,61.9,878999.04,Swim9,2021-10-31,Taichung,50m,Freestyle,26.7,177,23,1
