運動員,身高(cm),體重(kg),訓練距離(km/週),賽事,日期,賽事等級,距離(m),泳姿,成績,心率,睡眠問卷分數,睡眠等級
林姵彣,174,60.91,8.73,Swim0,2021-01-31,全國級,50m,Freestyle,27.111,158,23,1
林姵彣,174,61.57,8.31,Swim1,2021-02-28,縣市級,50m,Freestyle,27.165,171,52,3
林姵彣,174,60.4,8.85,Swim2,2021-03-31,國際級,50m,Freestyle,27.108,148,35,2
林姵彣,174,61.03,9.46,Swim3,2021-04-30,全國級,50m,Freestyle,27.2,134,39,2
林姵彣,174,61.18,8.23,Swim4,2021-05-31,縣市級,50m,Freestyle,26.71,162,23,1
林姵彣,174,60.09,8.23,Swim5,2021-06-30,全國級,50m,Freestyle,26.705,127,2,1
林姵彣,174,61.22,9.49,Swim6,2021-07-31,國際級,50m,Freestyle,26.738,180,21,1
林姵彣,174,60.34,8.93,Swim7,2021-08-31,全國級,50m,Freestyle,26.744,140,52,3
林姵彣,174,60.13,8.06,Swim8,2021-09-30,縣市級,50m,Freestyle,26.786,158,1,1
林姵彣,174,61.9,8.79,Swim9,2021-10-31,縣市級,50m,Freestyle,26.7,177,23,1
